Conclusion,Location,Category,Item
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper,"Newspapers, inserts and flyers"
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper,Magazines and catalogues
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper,Telephone books and other directories
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper,"Writing and home office paper, paper envelopes, and notepads"
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper,Paper gift wrap and greeting cards
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper,"Single-use paper party décor (e.g., paper pennants, paper globes and ornaments, etc.)"
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper,Shredded paper (set shredded paper out for collection in a paper bag or small box and place in your paper collection container)
Not Accepted,,Paper,Hardcover or paperback books (donate or sell)
Not Accepted,,Paper,"Paper towels, napkins, tissues"
Not Accepted,,Paper,Non-paper gift wrap and foil gift wrap
Not Accepted,,Paper,Padded envelopes
Not Accepted,,Paper,Ribbons or bows
Not Accepted,,Paper,Musical greeting cards with batteries (contact the Recycling Council of BC for battery and e-waste recycling options)
Not Accepted,,Paper,Rubber bands
Not Accepted,,Paper,Plastic bags used to cover newspapers/flyers (recycle at a Recycle BC depot)
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper Packaging and Cardboard,"Corrugated cardboard boxes used for shipping, grocery and liquor store boxes, pizza boxes, moving boxes and Banker’s boxes"
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper Packaging and Cardboard,"Cardboard and boxboard boxes used for cereal, shoes, tissues, pizza, frozen entrees, desserts, detergent, etc."
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper Packaging and Cardboard,Cardboard packaging for cannabis product
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper Packaging and Cardboard,"Carrier trays for bulk bottled water, soft drinks, cans, food, etc."
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper Packaging and Cardboard,Cores for paper towels and toilet tissue
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper Packaging and Cardboard,"Molded boxboard packaging for egg cartons, take-out beverage trays, paper-based plant pots"
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper Packaging and Cardboard,Paper gift bags and boxes
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper Packaging and Cardboard,Paper bags (also called Kraft paper) and envelopes
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper Packaging and Cardboard,"Multi-layered paper bags for flour, sugar, etc."
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper Packaging and Cardboard,Compressed paper hangers included with clothing
Not Accepted,,Paper Packaging and Cardboard,"Cardboard boxes with wax coating, such as empty boxes, made available for residents to transport their groceries home"
Not Accepted,,Paper Packaging and Cardboard,Paper bags with multiple layers that include a foil layer
Not Accepted,,Paper Packaging and Cardboard,Paper bags with a plastic layer
Not Accepted,,Paper Packaging and Cardboard,"Paper towels, napkins (include with green waste, if applicable)"
Not Accepted,,Paper Packaging and Cardboard,Tissues
Not Accepted,,Paper Packaging and Cardboard,Padded envelopes with plastic or bubble layer
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,"Plastic jugs with screw tops used for cooking oil, laundry detergent and fabric softener, cleaning solutions, cleaning products, body care products, windshield washer fluid, etc."
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,"Plastic bottles with screw caps, spray pump, or pull-up tops for food, dish soap, mouthwash, shampoos, conditioners and other personal care products, pills and vitamins, laundry products, etc."
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,"Plastic jars with wide mouths and screw-top lids for peanut butter, jam, nuts, condiments, vitamins and supplements, personal care products, etc."
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,Plastic packaging for cannabis product
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,"Plastic clamshells with hinged or click-closed tops for baked goods, fruit, produce, eggs, etc."
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,"Plastic black-bottom trays and clear tops for deli chicken, single-serve meals, prepared foods, baked goods"
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,"Plastic tubs and lids for food such as margarine and spreads, dairy products such as yogurt, cottage cheese, sour cream, ice cream, etc."
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,Plastic cold drink cups with lids for take-out beverages
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,"Plastic garden pots and trays for bedding plants, seedlings, vegetable plants, etc."
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,"Plastic pails less than 25L for laundry detergent, ice cream, pet food, etc."
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,Microwavable bowls and cups
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,Empty single-use coffee and tea pods; remove lids and do not include lids with recycling
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,"Rigid plastic packaging for toys, toothbrushes, batteries, etc.; remove paper backing and recycle separately"
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,Plastic straws
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,Plastic stir sticks
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,Plastic utensils
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,"Plastic plates, cups, and bowls"
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,Non-durable plastic food containers
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,Rigid plastic gift bags or boxes
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,Disposable plastic hangers included with clothing
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,Plastic tape dispensers
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Plastic Containers,Plastic dental floss containers
Not Accepted,,Plastic Containers,"Containers for motor oil, vehicle lubricant or antifreeze products (call the RCBC Hotline 1-800-667-4321 or check Recyclepedia)"
Not Accepted,,Plastic Containers,"Packaging labelled biodegradable or compostable, or oxo-degradable"
Not Accepted,,Plastic Containers,Items that are not packaging like
Not Accepted,,Plastic Containers,Long-term storage containers such as heavy-duty plastic boxes or totes
Not Accepted,,Plastic Containers,"Durable hangers: wire, sturdy plastic, metal, wood"
Not Accepted,,Plastic Containers,Tool boxes or power tool cases
Not Accepted,,Plastic Containers,"Liquid-absorbing pads, e.g., in trays of meat, poultry, fish, etc."
Not Accepted,,Plastic Containers,Plastic wrap
Not Accepted,,Plastic Containers,Plastic blister packs e.g. plastic/foil protective packaging for chewing gum and pills
Not Accepted,,Plastic Containers,Ceramic plant pots
Not Accepted,,Plastic Containers,"Lawn edging, tarps, plastic furniture or toys"
Not Accepted,,Plastic Containers,Garden hoses
Not Accepted,,Plastic Containers,Plastic string or rope
Not Accepted,,Plastic Containers,Plastic paint cans (call the RCBC Hotline 1-800-667-4321 or check Recyclepedia)
Not Accepted,,Plastic Containers,Pails larger than 25L
Not Accepted,,Plastic Containers,Pails for lubricants and oils (call the RCBC Hotline 1-800-667-4321 or check Recyclepedia)
Not Accepted,,Plastic Containers,Microwavable bowls with metal rims
Not Accepted,,Plastic Containers,Plastic or foil lids from coffee and tea pods
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Cartons and Paper Cups,Paper cups for hot and cold beverages
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Cartons and Paper Cups,"Cartons and boxes for dairy, cream, substitute eggs, broth, sauces, etc."
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Cartons and Paper Cups,"Frozen dessert boxes for ice cream, frozen yogurt, etc."
Accepted,,Cartons and Paper Cups,Coated paper plates and bowls
Not Accepted,,Cartons and Paper Cups,Paper straws or stir sticks
Not Accepted,,Cartons and Paper Cups,Cartons and boxes with a deposit can be returned to depot in BC’s deposit program for a refund or included in container recycling
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Aluminum Containers,Aluminum cans and lids used for food
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Aluminum Containers,Aluminum foil
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Aluminum Containers,Aluminum foil pie plates and baking trays
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Aluminum Containers,Aluminum take-out containers
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Aluminum Containers,Empty aluminum spray containers
Not Accepted,,Aluminum Containers,Spray paint cans (call the RCBC Hotline 1-800-667-4321 or check Recyclepedia)
Not Accepted,,Aluminum Containers,Propane cylinders (call the RCBC Hotline 1-800-667-4321 or check Recyclepedia)
Not Accepted,,Aluminum Containers,Aerosol cans with any contents remaining
Not Accepted,,Aluminum Containers,Foil-lined cardboard take-out containers and lids
Not Accepted,,Aluminum Containers,Aluminum beverage containers can be returned to depot for deposit refund or included in container recycling
Not Accepted,,Aluminum Containers,Electronics and appliances
Not Accepted,,Aluminum Containers,"Pots, pans, and other scrap metal"
Not Accepted,,Aluminum Containers,"Durable storage containers (e.g., metal food storage containers)"
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Steel Containers,"Cans and lids for food, pet food, etc."
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Steel Containers,Metal spray containers
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Steel Containers,Thing-gauge metal tins (e.g. cookie tins)
Not Accepted,,Steel Containers,Steel paint cans
Not Accepted,,Steel Containers,"Durable hangers: wire, sturdy plastic, metal, wood"
Not Accepted,,Steel Containers,"Pots, pans and other scrap metal"
Not Accepted,,Steel Containers,Propane cylinders
Not Accepted,,Steel Containers,Metal toys
Not Accepted,,Steel Containers,Appliances and electronics
Not Accepted,,Steel Containers,"Long term, heavy-duty metal storage"
Not Accepted,,Steel Containers,Metal hardware or other scrap metal
Not Accepted,,Steel Containers,"Wiring or metal cords, extension cords"
Not Accepted,,Steel Containers,Steel beverage cans can be returned for deposit refund or included in container recycling
